Mission,Spacecraft,Launch Date,Carrier rocket,Operator,Mission type,Outcome
,*Okina*,,,,Orbiter,Successful
,*Ouna*,,,,Orbiter,Successful
,"Deployed *Okina* and *Ouna* satellites. *Kaguya* and *Okina* impacted the 
Moon at end of mission.[72]*Ouna* completed operations on 29 June 2009[73] 
but remains in selenocentric orbit.",,,,,
Chang'e 1,Chang'e 1,24-Oct-07,Long March 3A,CNSA,Orbiter,Successful
,"Impacted Moon in USGS quadrangle LQ21 on 1 March 2009, at end of mission. 
The impact made China the 6th country to reach the surface of the Moon.",,,,,
Chandrayaan-1,Chandrayaan-1,22-Oct-08,PSLV-XL C11,ISRO,Orbiter,Successful
,Moon Impact Probe,,,,Impactor,Successful
,"Succeeded through mission. Orbit lasted 312 days, short of intended 2 
years; However mission achieved most of its intended objectives. Terminated 
in 2009, remains in selenocentric orbit; discovered water ice on the Moon.
[74] Moon Impact Probe was deployed from the orbiter. It successfully 
impacted Moon's Shackleton Crater in the USGS quadrangle LQ30 at 20:31 on 
14 November 2008 releasing underground debris that could be analyzed by the 
orbiter for presence of water/ice. With this mission, India became the *first 
to impact the Lunar south pole* and the fifth nation to reach the lunar 
surface.",,,,,
Lunar Reconnaissance Orbiter,Lunar Reconnaissance Orbiter,18-Jun-09,Atlas V 401,NASA,Orbiter,Operational
,"Entered orbit on June 23, 2009",,,,,
LCROSS,LCROSS,18-Jun-09,Atlas V 401,NASA,Impactor,Successful
,"Observed impact of Centaur upper stage that launched it and LRO, then 
impacted itself. Impacts in USGS quadrangle LQ30.",,,,,
Chang'e 2,Chang'e 2,01-Oct-10,Long March 3C,CNSA,Orbiter,Successful
,"Following completion of six month Lunar mission, departed selenocentric 
orbit for Earth–Sun L2 Lagrangian point;[75] subsequently flew by asteroid 4179 
Toutatis.[76]",,,,,
GRAIL,"Ebb

(GRAIL-A)",10 September 2011[77][78],Delta II 7920H,NASA,Orbiter,Successful
,"Flow

(GRAIL-B)",,,,Orbiter,Successful
,"Impacted the Moon in USGS quadrangle LQ01 on 17 December 2012 at end of 
mission.[79]",,,,,
LADEE,LADEE,07-Sep-13,Minotaur V,NASA,Orbiter,Successful
,"Mission ended on 18 April 2014, when the spacecraft's controllers 
intentionally crashed LADEE into the far side of the Moon.",,,,,
Chang'e 3,Chang'e 3,01-Dec-13,Long March 3B,CNSA,Lander,Operational
,*Yutu*,,,,Rover,Successful
,"Entered orbit on 6 December 2013 with landing at 13:12 UTC on 14 December. 
*Yutu* rover was deployed from Chang'e 3.",,,,,
Chang'e 5-T1,Chang'e 5-T1,23-Oct-14,Long March 3C,CNSA,Orbiter,Successful
,Chang'e 5-T1 Return Capsule,,,,Orbiter,Successful
,"Demonstration of re-entry capsule for Chang'e 5 sample-return mission at 
lunar return velocity.",,,,,
Manfred Memorial Moon Mission,Manfred Memorial Moon Mission,23-Oct-14,Long March 3C,LuxSpace,Flyby / Impactor (post mission),Successful
,"Attached to third stage of CZ-3C used to launch Chang'e 5-T1. Impacted the 
Moon on 4 March 2022. The impact made Luxembourg the 8th country to reach 
the surface of the Moon.",,,,,
TESS,TESS,18-Apr-18,Falcon 9 Full Thrust,NASA,Flyby,Successful
,Flyby on 17 May 2018 to designated high Earth orbit.[80],,,,,
Queqiao,Queqiao relay satellite,21-May-18,Long March 4C,CNSA,Relay Satellite,Operational
,"Entered designated Earth–Moon L2 orbit on 14 June in preparation of Chang'e 
4 far-side lunar lander in December 2018.",,,,,
Longjiang,Longjiang-1,21-May-18,Long March 4C,CNSA,Orbiter,Spacecraft failure
,Longjiang-2,,,,Orbiter,Successful
,"Launched on the same rocket as *Queqiao*. *Longjiang-1* never entered Moon 
orbit,[81] while *Longjiang-2* operated in lunar orbit until 31 July 2019, 
when it impacted the lunar surface.[82]",,,,,
Chang'e 4,Chang'e 4,07-Dec-18,Long March 3B,CNSA,Lander,Operational
,Yutu-2,,,,Rover,Operational
,"*First spacecraft to soft land on the far side of the Moon* (South 
Pole–Aitken basin). Landed 3 January 2019 and deployed the *Yutu-2* rover.
[83][84]",,,,,
Beresheet,Beresheet,22-Feb-19,Falcon 9,SpaceIL,Lander,Spacecraft failure
,"First Israeli and first privately funded lunar lander mission. Technology 
demonstration. Instrumentation included a magnetometer and laser 
retroreflector.[85][86] Spacecraft crashed into the lunar surface after 
main engine failure during descent from lunar orbit phase.[87] The impact 
made Israel the 7th country to reach the surface of the Moon.",,,,,
Chandrayaan-2,Chandrayaan-2 Orbiter,22-Jul-19,LVM3 M1,ISRO,Orbiter,Operational
,Vikram,,,,Lander,Spacecraft Failure
,Pragyan,,,,Rover,Spacecraft Failure
,"Entered orbit on 20 August 2019. Lander separated from orbiter but crashed 
during a landing attempt on 6 September 2019, attributed to a software 
glitch. Both lander and rover were lost. Orbiter remained operational.[88]",,,,,
Chang'e 5,Chang'e 5 Orbiter,23-Nov-20,Long March 5,CNSA,Orbiter,Operational
,Chang'e 5 Lander,,,,Lander,Successful
,Chang'e 5 Ascender,,,,Launch Vehicle,Successful
,Chang'e 5 Returner,,,,Sample Return,Successful
,"First lunar sample return mission from China, which returned 1.731 kg 
(61.1 oz) of lunar samples on 16 December 2020. The orbiter received a 
mission extension and is currently in a distant retrograde orbit (DRO) of 
the Moon.[89]",,,,,
CAPSTONE,CAPSTONE,28 June 2022[90],Electron,NASA,Orbiter,Operational
,"Lunar orbiting CubeSat that will test and verify the calculated orbital 
stability planned for the Gateway space station.",,,,,
"*Danuri*

(Korea Pathfinder Lunar Orbiter)",*Danuri*,4 August 2022[90],Falcon 9,KARI,Orbiter[91][92],Operational
,"Lunar Orbiter by the Korea Aerospace Research Institute (KARI) of South 
Korea. The orbiter, its science payload and ground control infrastructure 
are technology demonstrators. The orbiter will also be tasked with 
surveying lunar resources such as water ice, uranium, helium-3, silicon, 
and aluminium, and produce a topographic map to help select future lunar 
landing sites.",,,,,
Artemis 1,*Artemis 1Orion MPCV CM-002*,16 November 2022[93],SLS Block 1,NASA,Orbiter,Successful
,"Uncrewed test of Orion spacecraft in lunar flyby and lunar Distant 
retrograde orbit.",,,,,
LunaH-Map and Lunar IceCube,LunaH-Map,16-Nov-22,SLS Block 1,NASA,Orbiter,En route
,Lunar IceCube,,,,Orbiter,Spacecraft failure
,"H-Map will search for evidence of lunar water ice inside permanently 
shadowed craters using its neutron detector while, IceCube will uses its infrared 
spectrometer to detect water and organic compounds in the lunar surface and 
exosphere.",,,,,
ArgoMoon,ArgoMoon,16-Nov-22,SLS Block 1,ASI,Flybys,Operational
,"It is designed to image the Interim Cryogenic Propulsion Stage and will 
collect telemetry validating the nanotechnology on board the platform in 
the hostile environment of deep space.",,,,,
LunIR,LunIR,16-Nov-22,SLS Block 1,Lockheed Martin,Flyby,Successful
,It is to flyby the Moon and collect its surface thermography.,,,,,
*Near-Earth Asteroid Scout*,*Near-Earth Asteroid Scout*,16-Nov-22,SLS Block 1,NASA,Flyby,Spacecraft failure
,It is a solar sail that will flyby a near-Earth asteroid.,,,,,
*EQUULEUS*,*EQUULEUS*,16-Nov-22,SLS Block 1,JAXA,Flybys,Operational
,"It will image the Earth's plasmasphere, impact craters on the Moon's far 
side, and small trajectory maneuvers near the Moon.",,,,,
*OMOTENASHI*,*OMOTENASHI*,16-Nov-22,SLS Block 1,JAXA,Impactor,Spacecraft failure
,"It was a lunar surface probe attempting to semi-hard land using solid 
rocket motors. Carrier and solid motor was to impact. Communication failure 
occurred and the probe missed and flew by the Moon.",,,,,
BioSentinel,BioSentinel,16-Nov-22,SLS Block 1,NASA,Flyby,Successful
,"CubeSat spacecraft on an astrobiology mission that will use budding yeast 
to detect, measure, and compare the impact of deep space radiation on DNA 
repair over long time beyond low Earth orbit.",,,,,
CubeSat for Solar Particles,CubeSat for Solar Particles,16-Nov-22,SLS Block 1,NASA,Flyby,Spacecraft failure
,CubeSat to orbit the Sun to study the dynamic particles and magnetic fields.,,,,,
Team Miles,Team Miles,16-Nov-22,SLS Block 1,Fluid & Reason,Flyby,Successful
,"CubeSat that will demonstrate navigation in deep space using innovative plasma 
thrusters.",,,,,
Hakuto-R Mission 1,Hakuto-R,11-Dec-22,Falcon 9 Block 5,ispace,Lander,Spacecraft failure
,SORA-Q,11-Dec-22,Falcon 9 Block 5,Tomy/JAXA/Dodai,Rover,Spacecraft failure
,"Lunar lander technology demonstration.[94] Contact lost during final stage 
of landing and deemed a failure. Cause of failure determined to be a 
software bug associated with the altitude estimation system.[95]",,,,,
Emirates Lunar Mission,*Rashid*,11-Dec-22,Falcon 9 Block 5,UAESA/MBRSC,Rover,Spacecraft failure
,"Lunar rover demonstration. Launched aboard ispace's Hakuto-R lander.[96] 
Lost with Hakuto-R. The impact made the United Arab Emirates the 9th 
country to reach the surface of the Moon.",,,,,
Lunar Flashlight,Lunar Flashlight,11-Dec-22,Falcon 9 Block 5,NASA,Flyby,Spacecraft failure
,"Initially scheduled to be launched on the Artemis 1 mission, moved to a Falcon 
9 Block 5 after not making it for the payload integration deadline. NASA 
announced later that it would not make its planned orbit or monthly flybys 
due to thruster issues.[97][2]",,,,,
Jupiter Icy Moons Explorer,Jupiter Icy Moons Explorer,14-Apr-23,Ariane 5 ECA,ESA,Flyby,En route
,Will fly by the Moon in August 2024 en route to Ganymede.,,,,,
Chandrayaan-3,Chandrayaan-3,14-Jul-23,LVM3 M4,ISRO,Orbiter,Operational
,Vikram,,,,Lander,En route
,*Pragyan* rover,,,,Rover,En route
,"Launched on 14 July 2023, Orbit insertion on 5 August 2023, Lander 
separated from relay satellite on 17 August 2023, scheduled to land on 23 
August 2023.",,,,,
Luna 25,Luna 25,10-Aug-23,Soyuz-2.1b/Fregat,Roscosmos,Lander,Spacecraft failure
,"Launched on 10 August 2023, Orbital insertion on 16 August 2023, failed 
orbital maneuver on 19 August 2023 set the spacecraft on the crash course 
with moon surface. Loss of communication was confirmed by Roscosmos on 20 
August 2023. The impact made Russia the 10th country to reach the surface 
of Moon.",,,,,
